2017-1-8	A1-3	模擬及數碼數據	下列哪些行動涉及轉換模擬數據至數碼數據？ (1)利用軟件將試算表檔案轉換為 PDF 檔 (2)利用軟件將語音轉換為文本 (3)利用數碼相機拍攝相片	只有(1)和(2)	只有(1)和(3)	只有(2)和(3)	(1)、(2)和(3)	B	2	MC																														
2019-1A-10	A1-2	數據驗證	某裝置在網絡內發送 8 位元的數據，而最後的一個位元為奇偶檢驗位。下列已接收的數據中，其中一個留有錯誤。它是哪一個呢？	0010 0010	1111 0000	0011 0011	1010 0111	D	2	MC																														
2019-1A-11	A1-2	數據驗證	細看以下網上登記表格：此網上登記程序涉及下列哪（些）項目？ (1) 數據驗證 (2) 數據壓縮 (3) 數據有效性檢驗	只有 (1)	只有 (2)	只有 (1) 和 (3)	只有 (2) 和 (3)	C	2	MC																														
2020-1A-1	A1-2	數據驗證	某香港身份證號碼被錯誤地輸入了電腦系統，如下所示：下列哪些可幫助找出此錯誤？ (1) 範圍檢查 (2) 輸入數據兩次 (3) 檢查數位	只有 (1) 和 (2)	只有 (1) 和 (3)	只有 (2) 和 (3)	(1) (2) 和 (3)	C	2	MC																														
2021-1A-9	A1-2	數據驗證	在網上系統內要求用戶輸入密碼兩次的目的 是什麼？	數據有效性檢驗	數據驗證	數據組織	數據預備	B	2	MC																														
2017-1-7	A1-2	數據驗證	當建構網上電子郵件戶口時，需要完成以下步驟：輸入密碼、重新輸入密碼。重新輸入密碼的目的是什麼？	數據收集	數據驗證	數據組織	數據有效性檢驗	B	2	MC																														
2018-1-3	A1-2	數據驗證	下列哪項是改變學校內聯網帳戶密碼時的一個數據驗證例子？	輸入新密碼兩次	輸入新密碼和流動電話號碼	輸入最少包含一個特殊字符的新密碼	輸入與舊密碼相異的新密碼	A	2	MC																														
2019-1A-6	A1-2	數據類型	參考以下數據庫表 STUDENT，回答問題 6 和 7。STUDENT 中的 SID 可能是什麼數據類型？ (1) 整數 (2) 字符 (3) 布爾	只有 (1)	只有 (2)	只有 (1) 和 (3)	只有 (2) 和 (3)	B	2	MC																														
2020-1A-4	A1-3	數據表示	某公司有 30000 名僱員，每位僱員均有一個職員編號。表示職員編號最少需要幾個位元？	14	15	16	32	C	2	MC																														
2018-1-7	A1-3	數據表示	某公司設計了一個處理員工記錄的流動應用程式。每筆記錄中，以 10 個位元來儲存員工號碼和 12 個字節來儲存中文姓名。這個流動應用程式可支援多少筆員工記錄？	2^10	2^12	2^(10+12)	2^(10×12)	A	2	MC																														
2016-1-7	A1-3	數字系統與表示法	參考以下P、Q和R的值。 P = 100010002 Q = 1000100010 R = 1000100016 下列哪項是正確的？	R > Q > P	Q > R > P	Q > P > R	R > P > Q	D	2	MC																														
2017-1-4	A1-3	圖像檔案格式	芝芝打算將她的相片上載至雲端儲存。在這情況下，相片採用 JPG 格式而非 BMP 格式有什麼好處？	減少相片的長度和闊度	減少相片的檔案大小	增加相片的像素數目	增加相片的顏色數目	B	2	MC																														
2017-1-9	A1-3	圖像表示	一個黑白顯示板利用 8×8 像素來展示一個圖案。左上方 4 個像素在任何時間均是黑色。此顯示板可展示多少個不同圖案？	60	120	2^60	2^64	C	2	MC																														
2020-1A-7	A1-1	資訊時代	下列哪項（些）是電子政府的好處？ (1) 政府資訊可讓公眾容易以數碼格式存取。 (2) 增強政府資訊的數據保安。 (3) 可縮窄社會的數碼隔閡。	只有 (1)	只有 (2)	只有 (1) 和 (3)	只有 (2) 和 (3)	A	2	MC																														
2016-1-9	A1-1	資訊時代	下列哪些是資訊時代的特點？ (1)資訊透過互聯網廣泛散布 (2)公眾人士可快速獲取資訊 (3)在互聯網上所有公司的資料是正確的	只有(1)和(2)	只有(1)和(3)	只有(2)和(3)	(1)、(2)和(3)	A	2	MC																														
2017-1-37	A1-1	資訊時代	資訊年代的出現帶來哪些改變？ (1)需要更多辦公室空間 (2)新的資訊及通訊科技相關工作出現，並改變人力市場。 (3)有更多機會獲得資訊和學習新事物	只有(1)和(2)	只有(1)和(3)	只有(2)和(3)	(1)、(2)和(3)	C	2	MC																														
2019-1A-1	A1-3	溢出誤差	下列哪項（些）關於二進制補碼的句子是正確的？ (1) 算術運算中不會出現溢出誤差。 (2) 8 位元數字的最大值是 0111 1111。 (3) 8 位元數字的最小值是 1111 1111。	只有 (1)	只有 (2)	只有 (1) 和 (3)	只有 (2) 和 (3)	B	2	MC																														
2021-1A-2	A1-3	溢出誤差	下列哪個以 8 位元二進制補碼表示數字的加法運算，會引至上溢錯誤？	0011 0110 + 0011 1100	0100 0010 + 1000 0001	1001 1100 + 1111 0110	1011 1010 + 1100 0100	A	2	MC																														
2017-1-12	A1-3	溢出誤差	下列運算涉及 8 位二補碼數字。哪一項會產生溢出錯誤？	0001 0101 + 1000 1000	0111 0011 + 1000 1000	1100 0110 + 1000 1000	1111 1100 + 1000 1000	A	2	MC																														
